res1,res2,pair,ind1,ind2,roh1,roh2,roh3,roh12,roh23,roh34,ind1roh1,ind1roh2,ind1roh12,ind1roh23,ind1roh3,ind2roh1,ind2roh2,ind2roh12,ind2roh23,ind2roh3
Chandrapur,Kaziranga,Chandrapur-Kaziranga,BEN_CI2,BEN_NE1,157453788,111644153,14664880,45809635,96979273,7234310,674364895,657438378,16926517,229909737,427528641,560246780,423100976,137145804,256700947,166400029
Chandrapur,Kaziranga,Chandrapur-Kaziranga,BEN_CI2,BEN_NE2,366459890,334077339,162563400,32382551,171513939,59817301,674364895,657438378,16926517,229909737,427528641,1250511108,1174630426,75880682,233913209,940717217
Chandrapur,Kaziranga,Chandrapur-Kaziranga,BEN_CI2,BEN_NE3,302418471,270754655,113237993,31663816,157516662,53082555,674364895,657438378,16926517,229909737,427528641,1008859852,937520336,71339516,277485474,660034862
Chandrapur,Lalgarh,Chandrapur-Lalgarh,BEN_CI2,LGS1,234234546,198844273,39200816,35390273,159643457,19929922,674364895,657438378,16926517,229909737,427528641,737843728,638009894,99833834,404772144,233237750
Chandrapur,Periyar,Chandrapur-Periyar,BEN_CI2,BEN_SI5,384029727,357109290,128427356,26920437,228681934,66735678,674364895,657438378,16926517,229909737,427528641,1343835283,1299687777,44147506,344660143,955027634
Chandrapur,Ranthambore,Chandrapur-Ranthambore,BEN_CI2,BEN_NW10,362043632,337221763,144895008,24821869,192326755,75859156,674364895,657438378,16926517,229909737,427528641,1266198710,1229664069,36534641,328923565,900740504
Chandrapur,Ranthambore,Chandrapur-Ranthambore,BEN_CI2,BEN_NW11,308506905,285459882,122979467,23047023,162480415,60742572,674364895,657438378,16926517,229909737,427528641,997123987,950413379,46710608,263905963,686507416
Chandrapur,Ranthambore,Chandrapur-Ranthambore,BEN_CI2,BEN_NW12,398680733,378494959,205187792,20185774,173307167,80515584,674364895,657438378,16926517,229909737,427528641,1267506856,1231795407,35711449,227052846,1004742561
Chandrapur,Ranthambore,Chandrapur-Ranthambore,BEN_CI2,BEN_NW13,345029055,317261877,119665843,27767178,197596034,57808473,674364895,657438378,16926517,229909737,427528641,1183131254,1138285233,44846021,344174628,794110605
Chandrapur,Ranthambore,Chandrapur-Ranthambore,BEN_CI2,BEN_NW14,377851317,353479872,183283769,24371445,170196103,59291348,674364895,657438378,16926517,229909737,427528641,1235716540,1190952996,44763544,177541519,1013411477
Chandrapur,Ranthambore,Chandrapur-Ranthambore,BEN_CI2,BEN_NW17,314269223,292004715,114424597,22264508,177580118,50086971,674364895,657438378,16926517,229909737,427528641,1116321554,1085802823,30518731,256140006,829662817
Chandrapur,Ranthambore,Chandrapur-Ranthambore,BEN_CI2,BEN_NW18,411604753,387541509,191751416,24063244,195790093,71115300,674364895,657438378,16926517,229909737,427528641,1339364699,1300736006,38628693,242877521,1057858485
Chandrapur,Ranthambore,Chandrapur-Ranthambore,BEN_CI2,BEN_NW19,311510615,288236899,132129397,23273716,156107502,48111075,674364895,657438378,16926517,229909737,427528641,1081768306,1036331080,45437226,232322355,804008725
Chandrapur,Ranthambore,Chandrapur-Ranthambore,BEN_CI2,BEN_NW20,319360740,289107152,61728792,30253588,227378360,45367716,674364895,657438378,16926517,229909737,427528641,1086271749,1022278981,63992768,541693814,480585167
Chandrapur,Ranthambore,Chandrapur-Ranthambore,BEN_CI2,BEN_NW24,359098263,335322761,142841706,23775502,192481055,71364341,674364895,657438378,16926517,229909737,427528641,1159641386,1113494396,46146990,301627698,811866698
Chandrapur,Ranthambore,Chandrapur-Ranthambore,BEN_CI2,BEN_NW3,356852472,332553252,140691409,24299220,191861843,65840635,674364895,657438378,16926517,229909737,427528641,1280728709,1240123254,40605455,207797688,1032325566
Chandrapur,Ranthambore,Chandrapur-Ranthambore,BEN_CI2,BEN_NW4,356947098,336842437,179658470,20104661,157183967,53660408,674364895,657438378,16926517,229909737,427528641,1219365724,1186222475,33143249,158691252,1027531223
Chandrapur,Ranthambore,Chandrapur-Ranthambore,BEN_CI2,BEN_NW5,294140712,266041069,115907749,28099643,150133320,38272001,674364895,657438378,16926517,229909737,427528641,977809134,918585062,59224072,241966240,676618822
Chandrapur,Ranthambore,Chandrapur-Ranthambore,BEN_CI2,BEN_NW55,329852721,298778774,71926685,31073947,226852089,54317888,674364895,657438378,16926517,229909737,427528641,1131174741,1073214798,57959943,534097691,539117107
Chandrapur,Ranthambore,Chandrapur-Ranthambore,BEN_CI2,BEN_NW57,352381693,316437132,73433616,35944561,243003516,51660010,674364895,657438378,16926517,229909737,427528641,1180288036,1103120235,77167801,638361097,464759138
Chandrapur,Ranthambore,Chandrapur-Ranthambore,BEN_CI2,BEN_NW6,268849152,245042102,98019898,23807050,147022204,48534070,674364895,657438378,16926517,229909737,427528641,992143483,946435718,45707765,248527765,697907953
Chandrapur,Ranthambore,Chandrapur-Ranthambore,BEN_CI2,BEN_NW8,379023949,355242342,174747990,23781607,180494352,75980144,674364895,657438378,16926517,229909737,427528641,1196839698,1156984240,39855458,275076038,881908202
Chandrapur,Ranthambore,Chandrapur-Ranthambore,BEN_CI2,BEN_NW9,353650541,328637330,143349859,25013211,185287471,64952278,674364895,657438378,16926517,229909737,427528641,1246521228,1203200533,43320695,216389572,986810961
Chandrapur,Wayanad,Chandrapur-Wayanad,BEN_CI2,BEN_SI1,271141176,234827073,79769069,36314103,155058004,23373227,674364895,657438378,16926517,229909737,427528641,897358653,799698739,97659914,345341326,454357413
Chandrapur,Wayanad,Chandrapur-Wayanad,BEN_CI2,BEN_SI11,213338690,199668036,92981245,13670654,106686791,33607837,674364895,657438378,16926517,229909737,427528641,641166204,612648765,28517439,241001807,371646958
Chandrapur,Wayanad,Chandrapur-Wayanad,BEN_CI2,BEN_SI2,186529224,178491171,68371991,8038053,110119180,19498496,674364895,657438378,16926517,229909737,427528641,650993225,648515374,2477851,140667619,507847755
Chandrapur,Wayanad,Chandrapur-Wayanad,BEN_CI2,BEN_SI3,319881927,288630700,133849484,31251227,154781216,72114371,674364895,657438378,16926517,229909737,427528641,931565359,847325564,84239795,345974583,501350981
Chandrapur,Wayanad,Chandrapur-Wayanad,BEN_CI2,BEN_SI4,372757538,342800282,189151556,29957256,153648726,52822709,674364895,657438378,16926517,229909737,427528641,1109312253,1030580255,78731998,302255092,728325163
Chandrapur,Wayanad,Chandrapur-Wayanad,BEN_CI2,BEN_SI6,275656795,243757318,85849435,31899477,157907883,57087140,674364895,657438378,16926517,229909737,427528641,951080464,864453508,86626956,319674486,544779022
Chandrapur,Wayanad,Chandrapur-Wayanad,BEN_CI2,BEN_SI7,321450525,288923400,139148645,32527125,149774755,62273467,674364895,657438378,16926517,229909737,427528641,942430262,853584663,88845599,335397181,518187482
Chandrapur,Wayanad,Chandrapur-Wayanad,BEN_CI2,BEN_SI8,372688990,341439915,190884018,31249075,150555897,49889514,674364895,657438378,16926517,229909737,427528641,1108177315,1029030472,79146843,300308119,728722353
Chandrapur,Wayanad,Chandrapur-Wayanad,BEN_CI2,BEN_SI9,241028206,204641403,53998907,36386803,150642496,26831725,674364895,657438378,16926517,229909737,427528641,849233213,745820153,103413060,339499389,406320764
Chandrapur,Zoo,Chandrapur-Zoo,BEN_CI2,ZSB_01,215232920,182719340,59014040,32513580,123705300,15467613,674364895,657438378,16926517,229909737,427528641,723092447,635855373,87237074,256023333,379832040
Chandrapur,Zoo,Chandrapur-Zoo,BEN_CI2,ZSB_02,270557417,240206075,94331191,30351342,145874884,46951088,674364895,657438378,16926517,229909737,427528641,942790346,865053483,77736863,260820720,604232763
Chandrapur,Zoo,Chandrapur-Zoo,BEN_CI2,ZSB_03,253794762,226280116,80857650,27514646,145422466,35392584,674364895,657438378,16926517,229909737,427528641,892317758,827799945,64517813,241409256,586390689
Chandrapur,Zoo,Chandrapur-Zoo,BEN_CI2,ZSB_04,270297133,244184953,89999567,26112180,154185386,41042907,674364895,657438378,16926517,229909737,427528641,867386629,799476794,67909835,302302125,497174669
Chandrapur,Zoo,Chandrapur-Zoo,BEN_CI2,ZSB_05,264954750,234046765,99909746,30907985,134137019,52098953,674364895,657438378,16926517,229909737,427528641,864922054,784467789,80454265,246263826,538203963
Corbett,Chandrapur,Corbett-Chandrapur,BEN_NOR1,BEN_CI2,203933640,167764351,21440254,36169289,146324097,14769606,689133358,592060124,97073234,396388890,195671234,674364895,657438378,16926517,229909737,427528641
Corbett,Chandrapur,Corbett-Chandrapur,BEN_NOR2,BEN_CI2,263557981,228281474,88010645,35276507,140270829,33730843,872604239,770086648,102517591,315997124,454089524,674364895,657438378,16926517,229909737,427528641
Corbett,Corbett,Corbett-Corbett,BEN_NOR1,BEN_NOR2,291280902,217339114,36035016,73941788,181304098,30487822,689133358,592060124,97073234,396388890,195671234,872604239,770086648,102517591,315997124,454089524
Corbett,Corbett,Corbett-Corbett,BEN_NOR2,BEN_NOR1,291280902,217339114,36035016,73941788,181304098,30487822,872604239,770086648,102517591,315997124,454089524,689133358,592060124,97073234,396388890,195671234
Corbett,Kanha,Corbett-Kanha,BEN_NOR1,BEN_CI15,175690402,114653964,10976104,61036438,103677860,5771791,689133358,592060124,97073234,396388890,195671234,558426844,440368350,118058494,313676252,126692098
Corbett,Kanha,Corbett-Kanha,BEN_NOR1,BEN_CI16,287861895,221139666,39845061,66722229,181294605,31258052,689133358,592060124,97073234,396388890,195671234,941465693,865515372,75950321,260165870,605349502
Corbett,Kanha,Corbett-Kanha,BEN_NOR1,BEN_CI18,161954957,100696560,3515956,61258397,97180604,3515956,689133358,592060124,97073234,396388890,195671234,531335982,416398696,114937286,280261230,136137466
Corbett,Kanha,Corbett-Kanha,BEN_NOR1,BEN_CI19,120191842,66460814,,53731028,66460814,,689133358,592060124,97073234,396388890,195671234,370653731,261143653,109510078,241812071,19331582
Corbett,Kanha,Corbett-Kanha,BEN_NOR1,BEN_CI3,210466166,149501939,30930775,60964227,118571164,18101785,689133358,592060124,97073234,396388890,195671234,399948004,398407865,1540139,114426239,283981626
Corbett,Kanha,Corbett-Kanha,BEN_NOR1,BEN_CI4,183199620,132392936,10938027,50806684,121454909,10938027,689133358,592060124,97073234,396388890,195671234,588039664,506748544,81291120,270707157,236041387
Corbett,Kanha,Corbett-Kanha,BEN_NOR1,BEN_CI5,140118467,90120669,8038214,49997798,82082455,8038214,689133358,592060124,97073234,396388890,195671234,447217937,358814659,88403278,289122614,69692045
Corbett,Kanha,Corbett-Kanha,BEN_NOR1,BEN_CI6,176199988,121874911,12657753,54325077,109217158,8484743,689133358,592060124,97073234,396388890,195671234,558093435,456569955,101523480,304633087,151936868
Corbett,Kanha,Corbett-Kanha,BEN_NOR1,BEN_CI7,212920689,175950215,38541320,36970474,137408895,26602378,689133358,592060124,97073234,396388890,195671234,746271387,730520258,15751129,197580294,532939964
Corbett,Kanha,Corbett-Kanha,BEN_NOR2,BEN_CI15,206985494,134119677,2461778,72865817,131657899,2461778,872604239,770086648,102517591,315997124,454089524,558426844,440368350,118058494,313676252,126692098
Corbett,Kanha,Corbett-Kanha,BEN_NOR2,BEN_CI16,367169640,299747242,112180685,67422398,187566557,42454843,872604239,770086648,102517591,315997124,454089524,941465693,865515372,75950321,260165870,605349502
Corbett,Kanha,Corbett-Kanha,BEN_NOR2,BEN_CI18,225606260,159141817,40497803,66464443,118644014,9584612,872604239,770086648,102517591,315997124,454089524,531335982,416398696,114937286,280261230,136137466
Corbett,Kanha,Corbett-Kanha,BEN_NOR2,BEN_CI19,152605104,92590898,4359991,60014206,88230907,4359991,872604239,770086648,102517591,315997124,454089524,370653731,261143653,109510078,241812071,19331582
Corbett,Kanha,Corbett-Kanha,BEN_NOR2,BEN_CI3,242910615,172911454,36233491,69999161,136677963,16259339,872604239,770086648,102517591,315997124,454089524,399948004,398407865,1540139,114426239,283981626
Corbett,Kanha,Corbett-Kanha,BEN_NOR2,BEN_CI4,227242234,168451948,25653299,58790286,142798649,13419539,872604239,770086648,102517591,315997124,454089524,588039664,506748544,81291120,270707157,236041387
Corbett,Kanha,Corbett-Kanha,BEN_NOR2,BEN_CI5,175720271,122503780,14304805,53216491,108198975,11951242,872604239,770086648,102517591,315997124,454089524,447217937,358814659,88403278,289122614,69692045
Corbett,Kanha,Corbett-Kanha,BEN_NOR2,BEN_CI6,205708146,141542568,13106353,64165578,128436215,10990161,872604239,770086648,102517591,315997124,454089524,558093435,456569955,101523480,304633087,151936868
Corbett,Kanha,Corbett-Kanha,BEN_NOR2,BEN_CI7,265825068,225378539,64888286,40446529,160490253,40279568,872604239,770086648,102517591,315997124,454089524,746271387,730520258,15751129,197580294,532939964
Corbett,Kaziranga,Corbett-Kaziranga,BEN_NOR1,BEN_NE1,174596929,105624963,13473864,68971966,92151099,13473864,689133358,592060124,97073234,396388890,195671234,560246780,423100976,137145804,256700947,166400029
Corbett,Kaziranga,Corbett-Kaziranga,BEN_NOR1,BEN_NE2,392188392,313398408,84965550,78789984,228432858,65100765,689133358,592060124,97073234,396388890,195671234,1250511108,1174630426,75880682,233913209,940717217
Corbett,Kaziranga,Corbett-Kaziranga,BEN_NOR1,BEN_NE3,318847351,249233970,56393720,69613381,192840250,39722514,689133358,592060124,97073234,396388890,195671234,1008859852,937520336,71339516,277485474,660034862
Corbett,Kaziranga,Corbett-Kaziranga,BEN_NOR2,BEN_NE1,214446627,141741032,31065330,72705595,110675702,12628942,872604239,770086648,102517591,315997124,454089524,560246780,423100976,137145804,256700947,166400029
Corbett,Kaziranga,Corbett-Kaziranga,BEN_NOR2,BEN_NE2,462502665,376626199,158680330,85876466,217945869,61713322,872604239,770086648,102517591,315997124,454089524,1250511108,1174630426,75880682,233913209,940717217
Corbett,Kaziranga,Corbett-Kaziranga,BEN_NOR2,BEN_NE3,365093607,287584843,87017266,77508764,200567577,52419659,872604239,770086648,102517591,315997124,454089524,1008859852,937520336,71339516,277485474,660034862
Corbett,Lalgarh,Corbett-Lalgarh,BEN_NOR1,LGS1,222547604,152180749,10922112,70366855,141258637,10922112,689133358,592060124,97073234,396388890,195671234,737843728,638009894,99833834,404772144,233237750
Corbett,Lalgarh,Corbett-Lalgarh,BEN_NOR2,LGS1,294079062,219971396,40825717,74107666,179145679,33116008,872604239,770086648,102517591,315997124,454089524,737843728,638009894,99833834,404772144,233237750
Corbett,Periyar,Corbett-Periyar,BEN_NOR1,BEN_SI5,404295795,331597242,69207018,72698553,262390224,58483729,689133358,592060124,97073234,396388890,195671234,1343835283,1299687777,44147506,344660143,955027634
Corbett,Periyar,Corbett-Periyar,BEN_NOR2,BEN_SI5,506943188,422962678,149626748,83980510,273335930,93376252,872604239,770086648,102517591,315997124,454089524,1343835283,1299687777,44147506,344660143,955027634
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW10,374021723,304128456,61403022,69893267,242725434,52290617,689133358,592060124,97073234,396388890,195671234,1266198710,1229664069,36534641,328923565,900740504
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW11,302791235,242767310,50171821,60023925,192595489,39587252,689133358,592060124,97073234,396388890,195671234,997123987,950413379,46710608,263905963,686507416
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW12,393922808,325462952,78926299,68459856,246536653,60187875,689133358,592060124,97073234,396388890,195671234,1267506856,1231795407,35711449,227052846,1004742561
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW13,353827385,285084317,57846240,68743068,227238077,45047858,689133358,592060124,97073234,396388890,195671234,1183131254,1138285233,44846021,344174628,794110605
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW14,386853407,320611130,84942253,66242277,235668877,58211723,689133358,592060124,97073234,396388890,195671234,1235716540,1190952996,44763544,177541519,1013411477
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW17,337005987,275224906,52530849,61781081,222694057,42289023,689133358,592060124,97073234,396388890,195671234,1116321554,1085802823,30518731,256140006,829662817
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW18,422117639,354647955,109040149,67469684,245607806,73828969,689133358,592060124,97073234,396388890,195671234,1339364699,1300736006,38628693,242877521,1057858485
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW19,328872692,264031266,58975420,64841426,205055846,40367719,689133358,592060124,97073234,396388890,195671234,1081768306,1036331080,45437226,232322355,804008725
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW20,335309553,261114854,32708727,74194699,228406127,32708727,689133358,592060124,97073234,396388890,195671234,1086271749,1022278981,63992768,541693814,480585167
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW24,356261902,284800628,51487648,71461274,233312980,43439943,689133358,592060124,97073234,396388890,195671234,1159641386,1113494396,46146990,301627698,811866698
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW3,395086973,326896924,87331729,68190049,239565195,58318114,689133358,592060124,97073234,396388890,195671234,1280728709,1240123254,40605455,207797688,1032325566
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW4,364161239,300995083,77471826,63166156,223523257,52775350,689133358,592060124,97073234,396388890,195671234,1219365724,1186222475,33143249,158691252,1027531223
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW5,292531779,226077402,49906627,66454377,176170775,31331679,689133358,592060124,97073234,396388890,195671234,977809134,918585062,59224072,241966240,676618822
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW55,338667370,265529533,32069181,73137837,233460352,32069181,689133358,592060124,97073234,396388890,195671234,1131174741,1073214798,57959943,534097691,539117107
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW57,353897381,266573675,18933560,87323706,247640115,18933560,689133358,592060124,97073234,396388890,195671234,1180288036,1103120235,77167801,638361097,464759138
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW6,311152195,255312322,63031998,55839873,192280324,49623665,689133358,592060124,97073234,396388890,195671234,992143483,946435718,45707765,248527765,697907953
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW8,363092456,297517660,67641984,65574796,229875676,51699906,689133358,592060124,97073234,396388890,195671234,1196839698,1156984240,39855458,275076038,881908202
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW9,373841106,304188822,76145452,69652284,228043370,63892297,689133358,592060124,97073234,396388890,195671234,1246521228,1203200533,43320695,216389572,986810961
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW10,491446895,413073805,159641043,78373090,253432762,96747129,872604239,770086648,102517591,315997124,454089524,1266198710,1229664069,36534641,328923565,900740504
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW11,370751616,304726199,118697081,66025417,186029118,61154819,872604239,770086648,102517591,315997124,454089524,997123987,950413379,46710608,263905963,686507416
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW12,494524811,422125720,209282756,72399091,212842964,67409833,872604239,770086648,102517591,315997124,454089524,1267506856,1231795407,35711449,227052846,1004742561
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW13,475573557,405177382,175924501,70396175,229252881,99981354,872604239,770086648,102517591,315997124,454089524,1183131254,1138285233,44846021,344174628,794110605
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW14,479663082,406349990,203068190,73313092,203281800,63473636,872604239,770086648,102517591,315997124,454089524,1235716540,1190952996,44763544,177541519,1013411477
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW17,415523724,348010999,138561422,67512725,209449577,63402699,872604239,770086648,102517591,315997124,454089524,1116321554,1085802823,30518731,256140006,829662817
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW18,539511186,463526030,223326806,75985156,240199224,92321181,872604239,770086648,102517591,315997124,454089524,1339364699,1300736006,38628693,242877521,1057858485
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW19,407453343,338709643,132713976,68743700,205995667,56652694,872604239,770086648,102517591,315997124,454089524,1081768306,1036331080,45437226,232322355,804008725
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW20,447142532,370283523,102841512,76859009,267442011,66034090,872604239,770086648,102517591,315997124,454089524,1086271749,1022278981,63992768,541693814,480585167
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW24,437185644,362150507,132124026,75035137,230026481,72438751,872604239,770086648,102517591,315997124,454089524,1159641386,1113494396,46146990,301627698,811866698
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW3,515178902,441456009,232923971,73722893,208532038,68782170,872604239,770086648,102517591,315997124,454089524,1280728709,1240123254,40605455,207797688,1032325566
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW4,495339143,431578260,237861211,63760883,193717049,57647042,872604239,770086648,102517591,315997124,454089524,1219365724,1186222475,33143249,158691252,1027531223
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW5,397515209,331339881,138875699,66175328,192464182,59965866,872604239,770086648,102517591,315997124,454089524,977809134,918585062,59224072,241966240,676618822
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW55,449629250,371947721,115902723,77681529,256044998,76258392,872604239,770086648,102517591,315997124,454089524,1131174741,1073214798,57959943,534097691,539117107
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW57,467390300,377147269,96504333,90243031,280642936,60507387,872604239,770086648,102517591,315997124,454089524,1180288036,1103120235,77167801,638361097,464759138
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW6,393363806,333404869,145870078,59958937,187534791,65289357,872604239,770086648,102517591,315997124,454089524,992143483,946435718,45707765,248527765,697907953
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW8,460575623,389691238,157522566,70884385,232168672,77984590,872604239,770086648,102517591,315997124,454089524,1196839698,1156984240,39855458,275076038,881908202
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW9,484165805,411161889,189123305,73003916,222038584,58447929,872604239,770086648,102517591,315997124,454089524,1246521228,1203200533,43320695,216389572,986810961
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR1,BEN_SI1,280816684,209661691,34254520,71154993,175407171,24625993,689133358,592060124,97073234,396388890,195671234,897358653,799698739,97659914,345341326,454357413
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR1,BEN_SI11,218752137,178644101,32015455,40108036,146628646,27777753,689133358,592060124,97073234,396388890,195671234,641166204,612648765,28517439,241001807,371646958
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR1,BEN_SI2,201259362,169971769,41008872,31287593,128962897,28106419,689133358,592060124,97073234,396388890,195671234,650993225,648515374,2477851,140667619,507847755
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR1,BEN_SI3,279421651,208792871,27142768,70628780,181650103,19037707,689133358,592060124,97073234,396388890,195671234,931565359,847325564,84239795,345974583,501350981
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR1,BEN_SI4,340300854,267530014,65929488,72770840,201600526,56118526,689133358,592060124,97073234,396388890,195671234,1109312253,1030580255,78731998,302255092,728325163
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR1,BEN_SI6,285198788,216207478,33531903,68991310,182675575,25484251,689133358,592060124,97073234,396388890,195671234,951080464,864453508,86626956,319674486,544779022
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR1,BEN_SI7,283377514,211126988,29890870,72250526,181236118,17582846,689133358,592060124,97073234,396388890,195671234,942430262,853584663,88845599,335397181,518187482
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR1,BEN_SI8,339028258,265685868,64027203,73342390,201658665,49303244,689133358,592060124,97073234,396388890,195671234,1108177315,1029030472,79146843,300308119,728722353
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR1,BEN_SI9,258656593,189154215,36943145,69502378,152211070,31653345,689133358,592060124,97073234,396388890,195671234,849233213,745820153,103413060,339499389,406320764
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR2,BEN_SI1,362302244,284628891,101884248,77673353,182744643,48040106,872604239,770086648,102517591,315997124,454089524,897358653,799698739,97659914,345341326,454357413
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR2,BEN_SI11,240099614,197020145,68944005,43079469,128076140,36722509,872604239,770086648,102517591,315997124,454089524,641166204,612648765,28517439,241001807,371646958
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR2,BEN_SI2,247971062,216566419,86928923,31404643,129637496,54055376,872604239,770086648,102517591,315997124,454089524,650993225,648515374,2477851,140667619,507847755
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR2,BEN_SI3,356939718,282027623,97720875,74912095,184306748,55518997,872604239,770086648,102517591,315997124,454089524,931565359,847325564,84239795,345974583,501350981
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR2,BEN_SI4,428303161,349252367,127029976,79050794,222222391,47812420,872604239,770086648,102517591,315997124,454089524,1109312253,1030580255,78731998,302255092,728325163
