res1,res2,pair,ind1,ind2,roh1,roh2,roh3,ind1roh1,ind1roh2,ind2roh1,ind2roh2
Corbett,Kanha,Corbett-Kanha,BEN_NOR2,BEN_CI15,17271584,13996061,0,418514715,315997124,431734746,313676252
Corbett,Zoo,Corbett-Zoo,BEN_NOR2,ZSB_05,16959592,15107399,0,418514715,315997124,326718091,246263826
Corbett,Kanha,Corbett-Kanha,BEN_NOR2,BEN_CI16,20080534,15647592,0,418514715,315997124,336116191,260165870
Corbett,Kaziranga,Corbett-Kaziranga,BEN_NOR2,BEN_NE1,29526071,20310520,0,418514715,315997124,393846751,256700947
Corbett,Lalgarh,Corbett-Lalgarh,BEN_NOR2,LGS1,33003009,27762232,0,418514715,315997124,504605978,404772144
Corbett,Kaziranga,Corbett-Kaziranga,BEN_NOR2,BEN_NE2,45735462,34351354,0,418514715,315997124,309793891,233913209
Corbett,Kanha,Corbett-Kanha,BEN_NOR2,BEN_CI3,41262167,34680868,0,418514715,315997124,115966378,114426239
Corbett,Zoo,Corbett-Zoo,BEN_NOR2,ZSB_01,37185904,32528070,11016272,418514715,315997124,343260407,256023333
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW4,12909077,12909077,12909077,418514715,315997124,191834501,158691252
Corbett,Corbett,Corbett-Corbett,BEN_NOR2,BEN_NOR1,446520452,414688998,136220956,418514715,315997124,493462124,396388890
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI15,BEN_NW10,0,0,0,431734746,313676252,365458206,328923565
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI15,BEN_NW17,0,0,0,431734746,313676252,286658737,256140006
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI15,BEN_NW5,0,0,0,431734746,313676252,301190312,241966240
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI15,BEN_NW55,0,0,0,431734746,313676252,592057634,534097691
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI15,BEN_NW57,0,0,0,431734746,313676252,715528898,638361097
Kanha,Wayanad,Kanha-Wayanad,BEN_CI15,BEN_SI9,1413269,1413269,0,431734746,313676252,442912449,339499389
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI15,BEN_NW6,1422580,1422580,0,431734746,313676252,294235530,248527765
Kanha,Periyar,Kanha-Periyar,BEN_CI15,BEN_SI5,1444006,1444006,0,431734746,313676252,388807649,344660143
Kanha,Wayanad,Kanha-Wayanad,BEN_CI15,BEN_SI8,3428741,1469627,0,431734746,313676252,379454962,300308119
Kanha,Kaziranga,Kanha-Kaziranga,BEN_CI15,BEN_NE3,1778276,1778276,0,431734746,313676252,348824990,277485474
Kanha,Kaziranga,Kanha-Kaziranga,BEN_CI15,BEN_NE1,6610059,2873654,0,431734746,313676252,393846751,256700947
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI15,BEN_NW18,3523322,3523322,0,431734746,313676252,281506214,242877521
Kanha,Wayanad,Kanha-Wayanad,BEN_CI15,BEN_SI6,5188257,3753067,0,431734746,313676252,406301442,319674486
Kanha,Corbett,Kanha-Corbett,BEN_CI15,BEN_NOR1,4147758,4147758,0,431734746,313676252,493462124,396388890
Kanha,Wayanad,Kanha-Wayanad,BEN_CI15,BEN_SI1,4167774,4167774,0,431734746,313676252,443001240,345341326
